[04:32:02] [main/INFO]: Setting user: BogdanG
[04:32:11] [Client thread/INFO]: LWJGL Version: 2.9.4
[04:33:09] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:Treecapitator, FMLFileResourcePack:Aether II, FMLFileResourcePack:AnimationAPI, FMLFileResourcePack:Antique Atlas, FMLFileResourcePack:AdventOfAscension, FMLFileResourcePack:Applied Energistics 2, FMLFileResourcePack:Backpack, FMLFileResourcePack:Better Foliage, FMLFileResourcePack:BiblioCraft, FMLFileResourcePack:BiblioWoods Forestry Edition, FMLFileResourcePack:Botany, FMLFileResourcePack:Binnie Core, FMLFileResourcePack:Extra Bees, FMLFileResourcePack:Extra Trees, FMLFileResourcePack:Genetics, FMLFileResourcePack:Biomes O' Plenty, FMLFileResourcePack:Blood Magic: Alchemical Wizardry, FMLFileResourcePack:Blue Power, FMLFileResourcePack:Botania, FMLFileResourcePack:BC Builders, FMLFileResourcePack:BC Energy, FMLFileResourcePack:BC Factory, FMLFileResourcePack:BC Silicon, FMLFileResourcePack:BuildCraft, FMLFileResourcePack:BC Transport, FMLFileResourcePack:Carpenter's Blocks, FMLFileResourcePack:ChickenChunks, FMLFileResourcePack:Chisel 2, FMLFileResourcePack:ComputerCraft, FMLFileResourcePack:Build Mod, FMLFileResourcePack:CoroPets, FMLFileResourcePack:CoroAI, FMLFileResourcePack:Extended Renderer, FMLFileResourcePack:Extended Mod Config, FMLFileResourcePack:CraftHeraldry, FMLFileResourcePack:DragonAPI, FMLFileResourcePack:DrZhark's Mo'Creatures Mod, FMLFileResourcePack:Enchanting Plus, FMLFileResourcePack:EvilCraft, FMLFileResourcePack:Extended Potions, FMLFileResourcePack:ExtrabiomesXL, FMLFileResourcePack:Extra Utilities, FMLFileResourcePack:Forestry for Minecraft, FMLFileResourcePack:GeoStrata, FMLFileResourcePack:Gilded Games Utility, FMLFileResourcePack:GraveStone, FMLFileResourcePack:GregTech, FMLFileResourcePack:Hardcore Darkness, FMLFileResourcePack:IndustrialCraft 2, FMLFileResourcePack:Inventory Tweaks, FMLFileResourcePack:Iron Chest, FMLFileResourcePack:Lycanites Mobs, FMLFileResourcePack:Lycanites Freshwater Mobs, FMLFileResourcePack:Lycanites Demon Mobs, FMLFileResourcePack:Lycanites Desert Mobs, FMLFileResourcePack:Lycanites Mountain Mobs, FMLFileResourcePack:Lycanites Jungle Mobs, FMLFileResourcePack:Lycanites Swamp Mobs, FMLFileResourcePack:Lycanites Shadow Mobs, FMLFileResourcePack:Lycanites Inferno Mobs, FMLFileResourcePack:Lycanites Saltwater Mobs, FMLFileResourcePack:Lycanites Forest Mobs, FMLFileResourcePack:Lycanites Plains Mobs, FMLFileResourcePack:Lycanites Arctic Mobs, FMLFileResourcePack:Magic Bees, FMLFileResourcePack:Magic Crusade, FMLFileResourcePack:Mantle, FMLFileResourcePack:§9MrCrayfish's Furniture Mod, FMLFileResourcePack:Mystcraft, FMLFileResourcePack:Natura, FMLFileResourcePack:Nature Overhaul, FMLFileResourcePack:NEI Addons, FMLFileResourcePack:NEI Addons: Applied Energistics 2, FMLFileResourcePack:NEI Addons: Botany, FMLFileResourcePack:NEI Addons: Forestry, FMLFileResourcePack:NEI Addons: Crafting Tables, FMLFileResourcePack:NEI Addons: Ex Nihilo, FMLFileResourcePack:NEI Integration, FMLFileResourcePack:NoMoreRecipeConflict, FMLFileResourcePack:Not Enough Resources, FMLFileResourcePack:Oceancraft, FMLFileResourcePack:Pam's Clay Spawn, FMLFileResourcePack:Pam's DesertCraft, FMLFileResourcePack:Pam's HarvestCraft, FMLFileResourcePack:Pam's Temperate Plants, FMLFileResourcePack:Pam's Weee! Flowers, FMLFileResourcePack:Power Converters, FMLFileResourcePack:Primitive Mobs, FMLFileResourcePack:QmunityLib, FMLFileResourcePack:Random Things, FMLFileResourcePack:Special AI, FMLFileResourcePack:Special Mobs, FMLFileResourcePack:Steve's Carts 2, FMLFileResourcePack:Tropicraft, FMLFileResourcePack:The Twilight Forest, FMLFileResourcePack:Underground Biomes Constructs, FMLFileResourcePack:vChat, FMLFileResourcePack:Waila, FMLFileResourcePack:What Are We Looking At, FMLFileResourcePack:weather2, FMLFileResourcePack:Witchery, FMLFileResourcePack:Ye Gamol Chattels, FMLFileResourcePack:Ztones, FMLFileResourcePack:bspkrsCore, FMLFileResourcePack:Baubles, FMLFileResourcePack:Forge Microblocks, FMLFileResourcePack:Forge Multipart, FMLFileResourcePack:Minecraft Multipart Plugin, ChromaHills-128x_1.7v11.zip
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:34:40] [Sound Library Loader/INFO]: Sound engine started
[04:34:40] [Client thread/WARN]: File nevermine:sounds/AuguryTransfer.ogg does not exist, cannot add it to event nevermine:AuguryTransfer
[04:40:15] [Client thread/ERROR]: Using missing texture, unable to load chisel:textures/blocks/futura/WIP/controllerWIP-ctm.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_3.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_4.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_5.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_6.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_0.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_1.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_2.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_8.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_7.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_9.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected2/0_sec.png, java.io.FileNotFoundException
[04:40:16] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/8_sec.png, java.io.FileNotFoundException
[04:40:17] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2868_null.png, java.io.FileNotFoundException
[04:40:17] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2860_null.png, java.io.FileNotFoundException
[04:40:17] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/9_sec.png, java.io.FileNotFoundException
[04:40:18] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2869_null.png, java.io.FileNotFoundException
[04:40:18] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2850_tile.igneousStone.png, java.io.FileNotFoundException
[04:40:18] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Diamond Ore.png, java.io.FileNotFoundException
[04:40:19] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Coal Ore.png, java.io.FileNotFoundException
[04:40:19] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/5_sec.png, java.io.FileNotFoundException
[04:40:19] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2857_null.png, java.io.FileNotFoundException
[04:40:19] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2856_tile.sedimentaryStone.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_10.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_11.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_16.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_12.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_13.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_14.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/shaped/unstitched/tile15_15.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1774_blockSpellModifier.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2862_null.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2859_null.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1778_schematicSaver.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2865_null.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2866_null.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1772_blockSpellParadigm.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null tile.monsterStoneEgg.name.png, java.io.FileNotFoundException
[04:40:20] [Client thread/ERROR]: Using missing texture, unable to load weather2:textures/blocks/WindVane.png, java.io.FileNotFoundException
[04:40:21] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/1_sec.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Gold Ore.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_1780_alchemicCalcinator.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/6_sec.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load weather2:textures/blocks/Anemometer.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/planks.png, java.io.FileNotFoundException
[04:40:22] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2863_null.png, java.io.FileNotFoundException
[04:40:23] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2858_null.png, java.io.FileNotFoundException
[04:40:24] [Client thread/ERROR]: Using missing texture, unable to load bluepower:textures/blocks/machines/igniter_side_0.png, java.io.FileNotFoundException
[04:40:24] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Lapis Lazuli Ore.png, java.io.FileNotFoundException
[04:40:24] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2870_null.png, java.io.FileNotFoundException
[04:40:24] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/MISSING_ICON_BLOCK_2864_null.png, java.io.FileNotFoundException
[04:40:24] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/blocks/null Iron Ore.png, java.io.FileNotFoundException
[04:40:25] [Client thread/ERROR]: Using missing texture, unable to load geostrata:textures/blocks/connected/2_sec.png, java.io.FileNotFoundException
[04:40:26] [Client thread/INFO]: Created: 8192x4096 textures/blocks-atlas
[04:40:28] [Client thread/ERROR]: Using missing texture, unable to load missing_icon_item_6484_extrautils:textures/items/microblocks.png, java.io.FileNotFoundException
[04:40:29] [Client thread/ERROR]: Using missing texture, unable to load minecraft:textures/items/MISSING_ICON_ITEM_8122_Corpse.png, java.io.FileNotFoundException
[04:40:31] [Client thread/ERROR]: Using missing texture, unable to load missing_icon_item_6467_extrautils:textures/items/lawSword.png, java.io.FileNotFoundException
[04:40:31] [Client thread/ERROR]: Using missing texture, unable to load alchemicalwizardry:textures/items/SigilOfTheFastMiner.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/621.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/620.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/623.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/622.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load gregtech:textures/items/gt.metaitem.01/624.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load extrabees:textures/items/misc/blutoniumDust.png, java.io.FileNotFoundException
[04:40:32] [Client thread/ERROR]: Using missing texture, unable to load chisel:textures/items/upgrade_reversion.png, java.io.FileNotFoundException
[04:40:32] [Client thread/INFO]: Created: 4096x2048 textures/items-atlas
[04:40:35] [Sound Library Loader/INFO]: Sound engine started
[04:40:35] [Client thread/WARN]: File nevermine:sounds/AuguryTransfer.ogg does not exist, cannot add it to event nevermine:AuguryTransfer
[04:41:15] [Client thread/INFO]: Deleting level New World UGB 16
[04:41:15] [Client thread/INFO]: Attempt 1...
[04:41:42] [Server thread/INFO]: Starting integrated minecraft server version 1.7.10
[04:41:42] [Server thread/INFO]: Generating keypair
[04:41:43] [Server thread/INFO]: Converting map!
[04:41:43] [Server thread/INFO]: Scanning folders...
[04:41:43] [Server thread/INFO]: Total conversion count is 0
[04:41:48] [Server thread/WARN]: Unable to find spawn biome
[04:42:01] [Server thread/WARN]: Unable to find spawn biome
[04:42:02] [Server thread/WARN]: Unable to find spawn biome
[04:42:04] [Server thread/INFO]: Preparing start region for level 0
[04:42:06] [Server thread/INFO]: Preparing spawn area: 1%
[04:42:07] [Server thread/INFO]: Preparing spawn area: 2%
[04:42:16] [Server thread/INFO]: Preparing spawn area: 4%
[04:42:29] [Server thread/INFO]: Preparing spawn area: 4%
[04:42:36] [Server thread/INFO]: Preparing spawn area: 4%
[04:42:44] [Server thread/INFO]: Preparing spawn area: 4%
[04:42:52] [Server thread/INFO]: Preparing spawn area: 4%
[04:43:00] [Server thread/INFO]: Preparing spawn area: 5%
[04:43:29] [Server thread/INFO]: Preparing spawn area: 5%
[04:43:50] [Server thread/INFO]: Preparing spawn area: 5%
[04:43:59] [Server thread/INFO]: Preparing spawn area: 5%
[04:44:20] [Server thread/INFO]: Preparing spawn area: 5%
[04:44:30] [Server thread/INFO]: Preparing spawn area: 5%
[04:44:41] [Server thread/INFO]: Preparing spawn area: 6%
[04:45:35] [Server thread/INFO]: Preparing spawn area: 6%
[04:46:23] [Server thread/INFO]: Preparing spawn area: 6%
[04:46:28] [Server thread/INFO]: Preparing spawn area: 6%
[04:46:30] [Server thread/INFO]: Preparing spawn area: 7%
[04:46:31] [Server thread/INFO]: Preparing spawn area: 8%
[04:46:36] [Server thread/INFO]: Preparing spawn area: 8%
[04:46:38] [Server thread/INFO]: Preparing spawn area: 8%
[04:46:40] [Server thread/INFO]: Preparing spawn area: 10%
[04:46:42] [Server thread/INFO]: Preparing spawn area: 10%
[04:46:43] [Server thread/INFO]: Preparing spawn area: 11%
[04:46:44] [Server thread/INFO]: Preparing spawn area: 18%
[04:46:45] [Server thread/INFO]: Preparing spawn area: 20%
[04:46:46] [Server thread/INFO]: Preparing spawn area: 21%
[04:46:48] [Server thread/INFO]: Preparing spawn area: 22%
[04:46:49] [Server thread/INFO]: Preparing spawn area: 29%
[04:46:50] [Server thread/INFO]: Preparing spawn area: 31%
[04:46:51] [Server thread/INFO]: Preparing spawn area: 32%
[04:46:52] [Server thread/INFO]: Preparing spawn area: 33%
[04:46:54] [Server thread/INFO]: Preparing spawn area: 35%
[04:46:55] [Server thread/INFO]: Preparing spawn area: 42%
[04:46:56] [Server thread/INFO]: Preparing spawn area: 44%
[04:46:57] [Server thread/INFO]: Preparing spawn area: 45%
[04:46:58] [Server thread/INFO]: Preparing spawn area: 47%
[04:46:59] [Server thread/INFO]: Preparing spawn area: 54%
[04:47:00] [Server thread/INFO]: Preparing spawn area: 56%
[04:47:01] [Server thread/INFO]: Preparing spawn area: 56%
[04:47:03] [Server thread/INFO]: Preparing spawn area: 58%
[04:47:04] [Server thread/INFO]: Preparing spawn area: 59%
[04:47:05] [Server thread/INFO]: Preparing spawn area: 66%
[04:47:06] [Server thread/INFO]: Preparing spawn area: 68%
[04:47:07] [Server thread/INFO]: Preparing spawn area: 70%
[04:47:08] [Server thread/INFO]: Preparing spawn area: 71%
[04:47:10] [Server thread/INFO]: Preparing spawn area: 76%
[04:47:11] [Server thread/INFO]: Preparing spawn area: 79%
[04:47:12] [Server thread/INFO]: Preparing spawn area: 81%
[04:47:13] [Server thread/INFO]: Preparing spawn area: 82%
[04:47:14] [Server thread/INFO]: Preparing spawn area: 90%
[04:47:15] [Server thread/INFO]: Preparing spawn area: 92%
[04:47:16] [Server thread/INFO]: Preparing spawn area: 93%
[04:47:17] [Server thread/INFO]: Preparing spawn area: 95%
[04:47:26] [Server thread/INFO]: Changing view distance to 6, from 10
[04:47:27] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 6817ms behind, skipping 136 tick(s)
[04:47:30] [Server thread/INFO]: BogdanG[local:E:3cf9ef46] logged in with entity id 452 at (1010.5, 77.0, 1003.5)
[04:47:30] [Server thread/INFO]: BogdanG joined the game
[04:47:31] [Client thread/INFO]: [CHAT] Your client is using a FastCraft test build.
[04:47:32] [Server thread/INFO]: BogdanG has just earned the achievement [Welcome to Magic Crusade]
[04:47:33] [Client thread/INFO]: [CHAT] InvTweaks: Configuration loaded.
[04:47:36] [Server thread/INFO]: BogdanG has just earned the achievement [You've been installed!]
[04:47:38] [Server thread/INFO]: Saving and pausing game...
[04:47:38] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Overworld
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Nether
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/The Last Millenium
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Wyvern Lair
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Tropics
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/SpectreWorld
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeons
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Aether
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Mystic Groves
[04:47:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/CONTROL
[04:48:39] [Client thread/INFO]: [CHAT] Advent of Ascension is out of date!
[04:48:39] [Client thread/INFO]: [CHAT] [New Version: 2.3.1-CANDYLAND-DIMENSION]
[04:48:39] [Client thread/INFO]: [CHAT] Welcome, §e§lBogdanG§r to §oBogdanG - New World UGB 17§r!
[04:48:39] [Client thread/INFO]: [CHAT] Currently, there are 1/8 players online.
[04:48:39] [Client thread/INFO]: [CHAT] You are playing on dimension 0 (§oOverworld§r)
[04:48:39] [Client thread/INFO]: [CHAT] and the local time is 04:47.
[04:48:39] [Client thread/INFO]: [CHAT] The server is running vChat to display this motd,
[04:48:39] [Client thread/INFO]: [CHAT] Have a good one! §o~Vic§r
[04:48:39] [Client thread/INFO]: [CHAT] You are talking on channel "global".
[04:48:39] [Client thread/INFO]: [CHAT] Currently joined channels: [local, global]
[04:48:44] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 5059ms behind, skipping 101 tick(s)
[04:49:27] [Client thread/INFO]: [CHAT] BogdanG has just earned the achievement [Welcome to Magic Crusade]
[04:49:27] [Client thread/INFO]: [CHAT] BogdanG has just earned the achievement [You've been installed!]
[04:49:27] [Client thread/INFO]: [CHAT] §bThank you for downloading MrCrayfish's Furniture Mod.
[04:49:27] [Client thread/INFO]: [CHAT] Make sure you check out the wiki! http://mrcrayfishs-furniture-mod.wikia.com/
[04:50:10] [Client thread/INFO]: [CHAT] You can press §cP§r on your keyboard to see more informations about §bThe Mage§r and it spells.
[04:50:10] [Client thread/INFO]: [CHAT] Don't forget to configure your controls!
[04:50:13] [Server thread/INFO]: BogdanG has just earned the achievement [Taking Inventory]
[04:50:17] [Client thread/INFO]: [CHAT] BogdanG has just earned the achievement [Taking Inventory]
[04:51:08] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 113023ms behind, skipping 2260 tick(s)
[04:51:12] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 4182ms behind, skipping 83 tick(s)
[04:51:27] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:51:31] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:51:40] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:51:48] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:51:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:00] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:08] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:11] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:52:13] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:16] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 37160ms behind, skipping 743 tick(s)
[04:52:19] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:52:20] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:21] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 5020ms behind, skipping 100 tick(s)
[04:52:22] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:24] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:52:25] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:28] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:29] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:52:32] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:52:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:52:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:35] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.death
[04:52:37] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:52:39] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:52:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:MotherVoidWalkerLiving
[04:52:42] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:43] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:52:45] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:52:50] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:52] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:52:55] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:52:56] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:52:59] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:52:59] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:53:03] [Client thread/INFO]: [CHAT] Saved screenshot as 2015-06-10_04.53.02.png
[04:53:03] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:53:03] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:53:07] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:53:07] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
